"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\config\cloudinary.js", "JavaScript", 18, 0, 0, 4, 22
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\config\database.js", "JavaScript", 25, 0, 0, 2, 27
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\controllers\category.js", "JavaScript", 79, 0, 0, 11, 90
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\controllers\providerDetails.js", "JavaScript", 140, 0, 0, 21, 161
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\controllers\user.js", "JavaScript", 388, 0, 0, 63, 451
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\index.js", "JavaScript", 26, 0, 0, 10, 36
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\mailTemplates\forgetPasswordTemplate.js", "JavaScript", 66, 0, 0, 7, 73
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\mailTemplates\otpVerificationTemplate.js", "JavaScript", 65, 0, 0, 5, 70
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\mailTemplates\passwordUpdateEmail.js", "JavaScript", 74, 0, 0, 9, 83
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\middleware\auth.js", "JavaScript", 81, 0, 0, 7, 88
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\category.js", "JavaScript", 21, 0, 4, 2, 27
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\orders.js", "JavaScript", 3, 0, 0, 2, 5
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\otp.js", "JavaScript", 47, 0, 0, 6, 53
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\profile.js", "JavaScript", 18, 0, 3, 2, 23
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\providerAddress.js", "JavaScript", 24, 0, 0, 2, 26
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\providerDetails.js", "JavaScript", 49, 0, 0, 2, 51
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\ratingAndReviews.js", "JavaScript", 28, 0, 0, 2, 30
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\models\user.js", "JavaScript", 58, 0, 0, 2, 60
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\package-lock.json", "JSON", 0, 2572, 0, 1, 2573
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\package.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\routes\providerDetails.js", "JavaScript", 12, 0, 0, 4, 16
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\routes\user.js", "JavaScript", 10, 0, 0, 3, 13
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\server\utils\mailSender.js", "JavaScript", 25, 0, 0, 3, 28
"Total", "-", 1257, 2605, 7, 171, 4040
